product_id,product_name,category,price,stock_quantity
1,Product 1,Clothing,327.7,147
2,Product 2,Clothing,273.75,184
3,Product 3,Books,276.86,530
4,Product 4,Beauty,455.4,128
5,Product 5,Clothing,450.67,228
6,Product 6,Home,217.41,212
7,Product 7,Beauty,384.92,820
8,Product 8,Home,93.87,778
9,Product 9,Electronics,424.6,918
10,Product 10,Books,370.93,452
11,Product 11,Clothing,211.45,657
12,Product 12,Beauty,250.87,293
13,Product 13,Beauty,221.42,189
14,Product 14,Beauty,430.8,127
15,Product 15,Clothing,339.54,455
16,Product 16,Beauty,77.68,231
17,Product 17,Clothing,460.43,406
18,Product 18,Electronics,44.29,971
19,Product 19,Home,394.55,154
20,Product 20,Electronics,209.51,979
21,Product 21,Beauty,74.28,507
22,Product 22,Clothing,466.86,991
23,Product 23,Home,373.58,181
24,Product 24,Home,204.81,381
25,Product 25,Beauty,376.92,989
26,Product 26,Beauty,42.3,616
27,Product 27,Books,340.05,858
28,Product 28,Home,481.21,907
29,Product 29,Beauty,301.48,709
30,Product 30,Electronics,288.86,592
31,Product 31,Beauty,168.49,968
32,Product 32,Electronics,283.39,348
33,Product 33,Electronics,367.38,858
34,Product 34,Electronics,83.4,786
35,Product 35,Home,237.1,118
36,Product 36,Beauty,162.4,469
37,Product 37,Clothing,222.12,728
38,Product 38,Home,233.74,980
39,Product 39,Beauty,280.23,249
40,Product 40,Books,271.38,697
41,Product 41,Clothing,329.53,269
42,Product 42,Books,24.12,872
43,Product 43,Clothing,207.06,711
44,Product 44,Books,285.18,576
45,Product 45,Books,7.54,387
46,Product 46,Electronics,173.06,982
47,Product 47,Clothing,295.75,796
48,Product 48,Electronics,135.28,3
49,Product 49,Clothing,66.2,668
50,Product 50,Home,311.26,172
51,Product 51,Beauty,388.66,878
52,Product 52,Books,190.3,77
53,Product 53,Clothing,182.14,376
54,Product 54,Clothing,475.11,732
55,Product 55,Home,97.03,24
56,Product 56,Books,7.24,439
57,Product 57,Electronics,116.21,916
58,Product 58,Books,54.77,934
59,Product 59,Clothing,472.87,351
60,Product 60,Clothing,268.4,31
61,Product 61,Electronics,299.32,469
62,Product 62,Beauty,46.39,536
63,Product 63,Clothing,119.15,935
64,Product 64,Electronics,188.66,263
65,Product 65,Books,477.41,621
66,Product 66,Electronics,148.37,539
67,Product 67,Electronics,280.98,955
68,Product 68,Clothing,325.31,907
69,Product 69,Clothing,272.62,77
70,Product 70,Home,436.39,578
71,Product 71,Beauty,313.7,201
72,Product 72,Electronics,115.05,427
73,Product 73,Beauty,265.9,34
74,Product 74,Home,59.87,234
75,Product 75,Books,50.86,532
76,Product 76,Clothing,421.12,690
77,Product 77,Books,274.17,532
78,Product 78,Home,82.24,356
79,Product 79,Books,35.77,931
80,Product 80,Electronics,452.07,338
81,Product 81,Electronics,429.15,859
82,Product 82,Books,226.51,615
83,Product 83,Home,390.34,223
84,Product 84,Electronics,280.23,539
85,Product 85,Beauty,188.01,634
86,Product 86,Electronics,327.59,153
87,Product 87,Electronics,226.83,62
88,Product 88,Clothing,212.33,893
89,Product 89,Clothing,426.46,918
90,Product 90,Books,439.2,604
91,Product 91,Clothing,239.28,806
92,Product 92,Books,476.32,429
93,Product 93,Clothing,349.03,749
94,Product 94,Books,338.82,597
95,Product 95,Electronics,495.84,875
96,Product 96,Electronics,158.25,710
97,Product 97,Electronics,210.29,623
98,Product 98,Beauty,35.53,390
99,Product 99,Books,66.34,192
100,Product 100,Beauty,463.92,222
101,Product 101,Home,255.34,325
102,Product 102,Clothing,46.94,944
103,Product 103,Electronics,29.82,294
104,Product 104,Clothing,238.14,470
105,Product 105,Electronics,97.76,953
106,Product 106,Books,486.8,183
107,Product 107,Beauty,164.71,13
108,Product 108,Electronics,114.73,871
109,Product 109,Electronics,85.18,364
110,Product 110,Beauty,340.11,640
111,Product 111,Beauty,147.67,3
112,Product 112,Home,254.43,133
113,Product 113,Electronics,432.96,485
114,Product 114,Electronics,222.16,653
115,Product 115,Books,200.5,500
116,Product 116,Home,244.29,869
117,Product 117,Electronics,54.18,731
118,Product 118,Books,172.94,63
119,Product 119,Books,203.92,405
120,Product 120,Books,151.75,566
121,Product 121,Beauty,183.0,661
122,Product 122,Electronics,7.43,629
123,Product 123,Electronics,37.97,164
124,Product 124,Home,124.02,651
125,Product 125,Electronics,401.32,527
126,Product 126,Clothing,146.89,471
127,Product 127,Clothing,101.07,735
128,Product 128,Books,188.53,936
129,Product 129,Electronics,346.4,981
130,Product 130,Electronics,165.18,497
131,Product 131,Books,360.36,837
132,Product 132,Electronics,384.76,82
133,Product 133,Home,193.07,539
134,Product 134,Beauty,459.72,625
135,Product 135,Books,71.37,307
136,Product 136,Clothing,40.73,807
137,Product 137,Beauty,341.53,420
138,Product 138,Home,80.63,675
139,Product 139,Books,51.15,509
140,Product 140,Home,116.54,761
141,Product 141,Clothing,38.61,301
142,Product 142,Electronics,377.62,994
143,Product 143,Books,300.3,689
144,Product 144,Home,368.22,555
145,Product 145,Clothing,434.76,535
146,Product 146,Books,387.67,276
147,Product 147,Clothing,493.25,473
148,Product 148,Home,100.18,930
149,Product 149,Electronics,444.07,557
150,Product 150,Electronics,109.61,913
151,Product 151,Books,200.94,340
152,Product 152,Clothing,257.15,957
153,Product 153,Books,16.91,569
154,Product 154,Beauty,224.86,144
155,Product 155,Electronics,109.98,302
156,Product 156,Beauty,313.46,922
157,Product 157,Books,367.02,299
158,Product 158,Books,495.84,67
159,Product 159,Home,431.79,793
160,Product 160,Home,449.65,822
161,Product 161,Home,182.79,609
162,Product 162,Home,50.87,736
163,Product 163,Books,421.05,18
164,Product 164,Home,77.35,90
165,Product 165,Clothing,359.27,81
166,Product 166,Home,407.12,680
167,Product 167,Books,243.25,683
168,Product 168,Clothing,103.05,323
169,Product 169,Clothing,327.61,118
170,Product 170,Beauty,477.84,88
171,Product 171,Books,52.27,95
172,Product 172,Books,400.66,233
173,Product 173,Home,356.41,523
174,Product 174,Electronics,175.78,484
175,Product 175,Clothing,15.94,950
176,Product 176,Electronics,359.72,256
177,Product 177,Books,177.77,360
178,Product 178,Books,259.54,115
179,Product 179,Electronics,351.82,354
180,Product 180,Electronics,145.02,630
181,Product 181,Books,103.66,984
182,Product 182,Beauty,197.77,854
183,Product 183,Beauty,36.86,373
184,Product 184,Beauty,107.3,255
185,Product 185,Beauty,83.25,351
186,Product 186,Clothing,322.64,805
187,Product 187,Books,411.25,993
188,Product 188,Beauty,156.5,344
189,Product 189,Books,63.63,51
190,Product 190,Beauty,112.52,961
191,Product 191,Books,282.21,843
192,Product 192,Electronics,91.55,279
193,Product 193,Clothing,419.63,12
194,Product 194,Books,374.65,845
195,Product 195,Home,86.61,747
196,Product 196,Books,281.55,540
197,Product 197,Clothing,443.53,213
198,Product 198,Electronics,405.22,519
199,Product 199,Clothing,456.52,873
200,Product 200,Clothing,330.54,625
201,Product 201,Beauty,24.93,352
202,Product 202,Home,98.07,492
203,Product 203,Books,154.79,40
204,Product 204,Books,258.53,182
205,Product 205,Home,190.25,642
206,Product 206,Books,496.09,283
207,Product 207,Beauty,273.96,774
208,Product 208,Clothing,168.43,712
209,Product 209,Beauty,137.24,612
210,Product 210,Beauty,400.26,236
211,Product 211,Beauty,153.48,526
212,Product 212,Beauty,463.15,536
213,Product 213,Electronics,282.55,334
214,Product 214,Beauty,89.38,850
215,Product 215,Home,437.96,557
216,Product 216,Electronics,428.55,757
217,Product 217,Home,304.55,106
218,Product 218,Electronics,385.45,427
219,Product 219,Electronics,486.37,425
220,Product 220,Home,291.51,133
221,Product 221,Home,360.68,14
222,Product 222,Clothing,199.27,684
223,Product 223,Clothing,207.8,910
224,Product 224,Books,382.49,217
225,Product 225,Clothing,267.54,918
226,Product 226,Home,498.25,488
227,Product 227,Books,405.03,624
228,Product 228,Books,425.37,805
229,Product 229,Home,172.56,755
230,Product 230,Books,171.7,461
231,Product 231,Books,104.91,844
232,Product 232,Clothing,393.6,629
233,Product 233,Home,296.7,494
234,Product 234,Clothing,164.07,408
235,Product 235,Beauty,12.45,738
236,Product 236,Electronics,475.35,258
237,Product 237,Clothing,260.87,622
238,Product 238,Beauty,350.98,168
239,Product 239,Books,162.12,93
240,Product 240,Clothing,290.11,490
241,Product 241,Clothing,245.92,992
242,Product 242,Books,19.11,357
243,Product 243,Clothing,31.43,232
244,Product 244,Beauty,34.27,950
245,Product 245,Beauty,329.59,716
246,Product 246,Clothing,83.59,539
247,Product 247,Electronics,15.89,478
248,Product 248,Beauty,187.09,371
249,Product 249,Electronics,406.84,730
250,Product 250,Clothing,17.13,277
251,Product 251,Clothing,370.07,636
252,Product 252,Electronics,171.26,996
253,Product 253,Electronics,16.4,895
254,Product 254,Electronics,359.31,968
255,Product 255,Electronics,233.02,873
256,Product 256,Home,452.66,125
257,Product 257,Books,299.6,102
258,Product 258,Clothing,371.51,434
259,Product 259,Beauty,204.61,952
260,Product 260,Home,97.1,721
261,Product 261,Electronics,344.47,657
262,Product 262,Home,142.39,696
263,Product 263,Clothing,155.47,974
264,Product 264,Home,91.21,719
265,Product 265,Electronics,30.95,554
266,Product 266,Clothing,273.64,26
267,Product 267,Home,22.41,782
268,Product 268,Home,216.43,506
269,Product 269,Clothing,181.62,412
270,Product 270,Clothing,16.86,885
271,Product 271,Books,321.62,109
272,Product 272,Electronics,227.28,722
273,Product 273,Home,226.72,152
274,Product 274,Home,493.02,747
275,Product 275,Home,24.85,115
276,Product 276,Books,426.02,429
277,Product 277,Beauty,102.42,262
278,Product 278,Books,53.25,332
279,Product 279,Clothing,132.89,613
280,Product 280,Books,377.93,304
281,Product 281,Home,328.74,693
282,Product 282,Beauty,395.73,676
283,Product 283,Books,125.85,863
284,Product 284,Books,231.94,133
285,Product 285,Books,101.58,859
286,Product 286,Beauty,251.76,635
287,Product 287,Electronics,48.19,901
288,Product 288,Clothing,87.52,989
289,Product 289,Books,494.6,864
290,Product 290,Clothing,138.95,201
291,Product 291,Home,388.76,140
292,Product 292,Beauty,431.99,918
293,Product 293,Clothing,238.5,171
294,Product 294,Electronics,163.88,768
295,Product 295,Electronics,457.39,969
296,Product 296,Clothing,35.17,813
297,Product 297,Electronics,329.75,696
298,Product 298,Electronics,413.59,883
299,Product 299,Home,78.15,758
300,Product 300,Electronics,446.67,672
301,Product 301,Home,382.91,386
302,Product 302,Beauty,362.06,25
303,Product 303,Beauty,171.08,243
304,Product 304,Home,351.21,452
305,Product 305,Beauty,123.29,626
306,Product 306,Clothing,403.65,986
307,Product 307,Books,467.27,478
308,Product 308,Clothing,40.47,136
309,Product 309,Clothing,14.33,86
310,Product 310,Books,58.25,423
311,Product 311,Clothing,390.31,231
312,Product 312,Clothing,106.25,884
313,Product 313,Clothing,82.43,287
314,Product 314,Books,190.18,373
315,Product 315,Home,411.95,181
316,Product 316,Home,285.31,321
317,Product 317,Books,439.09,112
318,Product 318,Home,351.18,801
319,Product 319,Clothing,94.11,557
320,Product 320,Clothing,101.46,740
321,Product 321,Books,358.11,448
322,Product 322,Beauty,171.0,748
323,Product 323,Books,355.2,473
324,Product 324,Beauty,154.42,251
325,Product 325,Books,77.75,543
326,Product 326,Home,293.61,247
327,Product 327,Home,303.9,831
328,Product 328,Home,410.47,343
329,Product 329,Beauty,158.41,30
330,Product 330,Books,348.91,842
331,Product 331,Home,351.11,981
332,Product 332,Home,148.15,573
333,Product 333,Home,89.35,500
334,Product 334,Clothing,148.04,899
335,Product 335,Beauty,239.8,964
336,Product 336,Beauty,477.59,330
337,Product 337,Home,154.79,120
338,Product 338,Electronics,259.63,69
339,Product 339,Beauty,124.78,387
340,Product 340,Electronics,147.17,505
341,Product 341,Beauty,418.23,826
342,Product 342,Beauty,368.65,801
343,Product 343,Books,37.54,592
344,Product 344,Clothing,244.04,439
345,Product 345,Clothing,56.29,62
346,Product 346,Beauty,219.73,660
347,Product 347,Books,44.52,7
348,Product 348,Electronics,497.03,796
349,Product 349,Books,202.16,788
350,Product 350,Books,7.09,977
351,Product 351,Beauty,101.42,198
352,Product 352,Beauty,88.75,160
353,Product 353,Books,37.31,483
354,Product 354,Clothing,290.38,706
355,Product 355,Books,5.91,886
356,Product 356,Books,277.81,166
357,Product 357,Clothing,89.63,579
358,Product 358,Books,375.02,439
359,Product 359,Clothing,303.76,288
360,Product 360,Beauty,33.54,823
361,Product 361,Electronics,139.84,561
362,Product 362,Electronics,461.71,63
363,Product 363,Electronics,388.95,373
364,Product 364,Clothing,44.06,778
365,Product 365,Beauty,424.04,453
366,Product 366,Electronics,427.62,493
367,Product 367,Clothing,66.05,432
368,Product 368,Books,128.02,407
369,Product 369,Clothing,141.65,434
370,Product 370,Books,394.24,413
371,Product 371,Clothing,355.76,961
372,Product 372,Clothing,435.51,936
373,Product 373,Home,12.51,89
374,Product 374,Clothing,112.97,186
375,Product 375,Books,86.11,550
376,Product 376,Beauty,202.55,243
377,Product 377,Home,192.97,207
378,Product 378,Clothing,446.46,412
379,Product 379,Books,236.15,833
380,Product 380,Electronics,5.76,371
381,Product 381,Beauty,267.06,881
382,Product 382,Home,169.06,248
383,Product 383,Electronics,193.92,985
384,Product 384,Clothing,203.19,898
385,Product 385,Clothing,290.77,99
386,Product 386,Clothing,152.68,706
387,Product 387,Books,53.37,459
388,Product 388,Home,232.26,282
389,Product 389,Electronics,396.82,753
390,Product 390,Clothing,426.04,615
391,Product 391,Clothing,88.98,655
392,Product 392,Beauty,283.65,367
393,Product 393,Electronics,419.24,432
394,Product 394,Beauty,341.67,10
395,Product 395,Books,426.66,474
396,Product 396,Books,449.86,821
397,Product 397,Books,420.33,258
398,Product 398,Beauty,34.54,174
399,Product 399,Clothing,166.72,160
400,Product 400,Beauty,498.8,977
401,Product 401,Home,410.71,451
402,Product 402,Clothing,411.04,512
403,Product 403,Clothing,108.0,784
404,Product 404,Beauty,66.61,54
405,Product 405,Electronics,410.7,182
406,Product 406,Beauty,184.11,273
407,Product 407,Clothing,135.43,255
408,Product 408,Books,288.84,629
409,Product 409,Home,72.38,969
410,Product 410,Books,282.75,445
411,Product 411,Books,465.46,711
412,Product 412,Beauty,309.59,724
413,Product 413,Clothing,115.88,745
414,Product 414,Beauty,456.43,635
415,Product 415,Home,208.64,855
416,Product 416,Electronics,51.2,577
417,Product 417,Beauty,33.36,338
418,Product 418,Home,399.29,546
