store_id,store_name,location,opened_date
1,Store 1,Phoenix,2013-11-14
2,Store 2,Chicago,2013-01-11
3,Store 3,Houston,2012-12-28
4,Store 4,Phoenix,2014-04-21
5,Store 5,Phoenix,2016-06-13
6,Store 6,Phoenix,2011-01-23
7,Store 7,Chicago,2016-03-20
8,Store 8,Los Angeles,2017-06-05
9,Store 9,Houston,2015-08-08
10,Store 10,Phoenix,2012-07-17
11,Store 11,Los Angeles,2018-05-23
12,Store 12,Houston,2011-04-23
13,Store 13,Los Angeles,2017-08-11
14,Store 14,Houston,2018-03-23
15,Store 15,Chicago,2012-04-02
16,Store 16,New York,2019-04-18
17,Store 17,Chicago,2015-11-10
18,Store 18,Chicago,2018-11-15
19,Store 19,Phoenix,2014-06-27
20,Store 20,Chicago,2018-06-08
21,Store 21,Chicago,2014-08-04
22,Store 22,New York,2011-08-11
23,Store 23,New York,2018-01-09
24,Store 24,Chicago,2016-07-10
25,Store 25,Los Angeles,2012-10-14
26,Store 26,Chicago,2019-05-02
27,Store 27,Phoenix,2015-01-01
28,Store 28,Los Angeles,2017-04-27
29,Store 29,Houston,2018-11-02
30,Store 30,Phoenix,2014-01-12
31,Store 31,Los Angeles,2015-11-04
32,Store 32,Houston,2014-02-02
33,Store 33,Houston,2010-04-14
34,Store 34,Phoenix,2018-07-26
35,Store 35,Los Angeles,2019-06-09
36,Store 36,Phoenix,2016-10-12
37,Store 37,Los Angeles,2014-10-20
38,Store 38,New York,2016-11-18
39,Store 39,Chicago,2014-05-07
40,Store 40,New York,2016-06-05
41,Store 41,Phoenix,2019-09-29
42,Store 42,Chicago,2017-02-12
43,Store 43,Phoenix,2017-01-03
44,Store 44,Phoenix,2010-10-05
45,Store 45,Phoenix,2011-10-23
46,Store 46,Chicago,2015-03-16
47,Store 47,New York,2013-06-02
48,Store 48,Phoenix,2019-07-05
49,Store 49,Phoenix,2015-02-07
50,Store 50,Phoenix,2010-01-09
51,Store 51,Chicago,2016-10-18
52,Store 52,Chicago,2014-07-08
53,Store 53,Los Angeles,2018-09-26
54,Store 54,Los Angeles,2017-05-16
55,Store 55,Chicago,2019-05-12
56,Store 56,Houston,2014-08-23
57,Store 57,Phoenix,2014-09-16
58,Store 58,Houston,2015-02-23
59,Store 59,Houston,2019-06-28
60,Store 60,Phoenix,2018-09-21
61,Store 61,New York,2015-05-15
62,Store 62,Phoenix,2010-10-01
63,Store 63,Los Angeles,2012-11-01
64,Store 64,Los Angeles,2015-02-25
65,Store 65,Los Angeles,2010-10-02
